window_id,label_row,solution_id,type,label,event_index,pause_start_ts,trigger_ts,trigger_definition,session_start_ts,session_end_ts,keys_5s,backspace_5s,navigation_5s,enter_5s,keys_10s,backspace_10s,navigation_10s,enter_10s,keys_30s,backspace_30s,navigation_30s,enter_30s,keys_60s,backspace_60s,navigation_60s,enter_60s,keys_120s,backspace_120s,navigation_120s,enter_120s,events_before,current_idle_s
1044971:0033,33,1044971,IDLE,1,366,2025-12-14T14:31:13.370000,2025-12-14T14:31:43.370000,pause_start+30s,2025-12-14T14:26:15.296000,2025-12-14T14:39:40.106000,0,0,0,0,0,0,0,0,1,0,0,0,42,0,0,1,71,0,0,3,367,30.0
1366530:0034,34,1366530,DEBUG,1,365,2026-01-09T15:32:55.845000,2026-01-09T15:32:57.845000,backspace+2s,2026-01-09T15:15:14.864000,2026-01-09T15:35:43.282000,4,4,0,0,7,4,0,0,18,4,0,0,18,4,0,0,33,4,0,0,366,2.0
1423586:0035,35,1423586,IDLE,0,75,2026-03-23T13:15:21.596000,2026-03-23T13:15:51.596000,pause_start+30s,2026-03-23T13:14:58.491000,2026-03-23T13:36:27.463000,0,0,0,0,0,0,0,0,1,0,0,1,76,0,0,4,76,0,0,4,76,30.0
1310273:0036,36,1310273,DEBUG,1,428,2026-01-07T10:25:15.530000,2026-01-07T10:25:17.530000,backspace+2s,2026-01-07T10:15:01.773000,2026-01-07T10:35:31.636000,4,2,0,0,4,2,0,0,6,2,0,0,28,2,0,1,53,2,0,2,429,2.0
1250736:0037,37,1250736,IDLE,1,372,2026-01-04T08:48:37.114000,2026-01-04T08:49:07.114000,pause_start+30s,2026-01-04T08:44:13.792000,2026-01-04T08:50:25.333000,0,0,0,0,0,0,0,0,1,0,0,0,61,0,0,3,163,0,0,9,373,30.0
1331402:0038,38,1331402,IDLE,1,114,2026-01-08T00:11:39.939000,2026-01-08T00:12:09.939000,pause_start+30s,2026-01-08T00:09:46.884000,2026-01-08T00:37:55.947000,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,1,72,0,0,4,115,30.0
1167800:0039,39,1167800,DEBUG,1,269,2025-12-26T14:11:32.553000,2025-12-26T14:11:34.553000,backspace+2s,2025-12-26T14:06:09.966000,2025-12-26T14:17:01.633000,1,1,0,0,1,1,0,0,1,1,0,0,4,1,0,0,4,1,0,0,270,2.0
1072733:0040,40,1072733,IDLE,0,38,2025-12-17T15:06:48.236000,2025-12-17T15:07:18.236000,pause_start+30s,2025-12-17T15:06:24.625000,2025-12-17T15:31:03.588000,0,0,0,0,0,0,0,0,1,0,0,1,39,0,0,3,39,0,0,3,39,30.0
1132907:0041,41,1132907,DEBUG,0,762,2025-12-23T22:44:05.610000,2025-12-23T22:44:07.610000,backspace+2s,2025-12-23T22:25:13.247000,2025-12-23T22:50:11.208000,3,1,0,0,3,1,0,0,4,1,0,0,7,2,0,0,125,2,0,11,763,2.0
1259941:0042,42,1259941,IDLE,1,55,2026-01-04T19:05:46.520000,2026-01-04T19:06:16.520000,pause_start+30s,2026-01-04T19:05:11.793000,2026-01-04T19:25:22.464000,0,0,0,0,0,0,0,0,1,0,0,0,45,0,0,2,56,0,0,2,56,30.0
1435074:0043,43,1435074,DEBUG,0,677,2026-03-25T21:13:22.787000,2026-03-25T21:13:24.787000,backspace+2s,2026-03-25T20:56:14.776000,2026-03-25T21:15:26.851000,1,1,0,0,1,1,0,0,12,1,0,0,26,1,0,2,58,1,0,2,678,2.0
1268406:0044,44,1268406,IDLE,0,166,2026-01-05T13:02:51.611000,2026-01-05T13:03:21.611000,pause_start+30s,2026-01-05T13:01:15.288000,2026-01-05T13:27:43.593000,0,0,0,0,0,0,0,0,1,0,0,1,60,0,0,4,162,0,0,11,167,30.0
1375570:0045,45,1375570,IDLE,1,0,2026-01-09T19:54:19.980000,2026-01-09T19:54:49.980000,pause_start+30s,2026-01-09T19:54:19.980000,2026-01-09T20:02:23.767000,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,30.0
1024866:0046,46,1024866,IDLE,1,507,2025-12-11T14:09:42.552000,2025-12-11T14:10:12.552000,pause_start+30s,2025-12-11T14:02:59.251000,2025-12-11T14:13:49.875000,0,0,0,0,0,0,0,0,1,0,0,0,35,0,0,0,83,0,0,1,508,30.0
1132855:0047,47,1132855,DEBUG,1,762,2025-12-23T22:44:05.610000,2025-12-23T22:44:07.610000,backspace+2s,2025-12-23T22:25:13.247000,2025-12-23T22:47:20.714000,3,1,0,0,3,1,0,0,4,1,0,0,7,2,0,0,125,2,0,11,763,2.0
1350070:0048,48,1350070,DEBUG,1,6,2026-01-08T20:01:10.610000,2026-01-08T20:01:12.610000,backspace+2s,2026-01-08T19:53:04.927000,2026-01-08T20:22:47.609000,3,2,0,0,3,2,0,0,3,2,0,0,3,2,0,0,3,2,0,0,7,2.0
1165335:0049,49,1165335,IDLE,1,119,2025-12-26T09:18:52.299000,2025-12-26T09:19:22.299000,pause_start+30s,2025-12-26T09:16:21.858000,2025-12-26T09:30:15.159000,0,0,0,0,0,0,0,0,1,0,0,1,38,0,0,3,68,0,0,3,120,30.0
1213809:0050,50,1213809,IDLE,0,231,2025-12-30T15:58:53.873000,2025-12-30T15:59:23.873000,pause_start+30s,2025-12-30T15:57:16.350000,2025-12-30T16:17:15.630000,0,0,0,0,0,0,0,0,2,0,0,0,56,0,0,3,210,0,0,12,232,30.0
1329838:0051,51,1329838,IDLE,1,137,2026-01-07T22:46:22.275000,2026-01-07T22:46:52.275000,pause_start+30s,2026-01-07T22:44:11.476000,2026-01-07T22:56:51.773000,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,1,61,0,0,1,138,30.0
