duration_s,total_keys,keys_per_min,pause_P50,pause_P75,pause_P90,pause_P95,pause_P99,pause_mean,pause_std,long_pauses_30s,long_pauses_60s,bs_total,bs_ratio,bs_burst_count,bs_burst_max,bs_then_long_pause,enter_total,enter_ratio,ctrl_total,shift_total,row_changes,row_changes_ratio,burst_count,keys_per_burst,burst_len_mean,burst_len_std,char_count,char_ratio,solution_id,judge,problem_pass_rate,attempt_number,user_ac_rate,user_total_submissions,ac
270.777,87,19.277855947883317,0.368,1.1035,4.778400000000001,15.303099999999912,58.8174,3.446949367088608,10.933449108820046,3,0,0,0.0,0,0,0,5,0.057471264367816,23,21,12,0.1395348837209302,4,21.75,21.75,27.716195626384224,37,0.425287356321839,992686,AC,0.811,5,0.294,214,1
477.363,319,40.09527340828678,0.453,1.045,2.565800000000002,4.313400000000001,22.118759999999977,1.5736393442622951,4.765534212335887,3,0,0,0.0,0,0,0,16,0.0501567398119122,1,56,26,0.0817610062893081,4,79.75,79.75,48.30307961196677,236,0.7398119122257053,992693,WA,0.675,1,0.423,213,0
624.685,315,30.25524864531724,0.386,1.04675,2.410200000000001,9.57394999999999,33.47117000000011,2.225140845070422,8.56881929356644,4,2,0,0.0,0,0,0,12,0.0380952380952381,8,54,26,0.0828025477707006,5,63.0,63.0,81.92191404013947,224,0.7111111111111111,992707,WA,0.675,2,0.359,320,0
352.973,397,67.48391520031277,0.277,0.7062499999999999,1.6383000000000003,3.088449999999998,12.679170000000004,0.9723145161290324,2.845318246747304,1,0,0,0.0,0,0,0,18,0.0453400503778337,2,99,31,0.0782828282828282,2,198.5,198.5,196.5,271,0.6826196473551638,992798,AC,0.627,1,0.477,199,1
1521.07,609,24.022563064158785,0.953,1.95875,4.613200000000004,7.689250000000007,38.890619999999615,2.611195205479452,7.637864063890518,7,4,0,0.0,0,0,0,24,0.0394088669950738,7,84,47,0.0773026315789473,8,76.125,76.125,120.08063696949644,467,0.7668308702791461,992799,AC,0.765,2,0.268,340,1
304.533,225,44.3301711144605,0.4595,1.013,2.8475,4.58675,27.453649999999985,1.5034271844660194,4.148514137093999,1,0,0,0.0,0,0,0,10,0.0444444444444444,13,30,11,0.0491071428571428,2,112.5,112.5,25.5,154,0.6844444444444444,992894,NoData,0.811,1,0.469,192,0
401.486,231,34.5217516924625,0.461,1.028,2.992000000000007,4.917599999999998,28.42331999999999,1.945717703349282,7.671808100620661,2,1,0,0.0,0,0,0,10,0.0432900432900432,16,30,14,0.0608695652173913,3,77.0,77.0,54.35071296680477,154,0.6666666666666666,992909,NoData,0.811,2,0.466,193,0
1314.33,210,9.586633493871402,0.4325,0.969,2.9003000000000045,13.654099999999817,189.4963,6.653,31.053404699880257,9,7,0,0.0,0,0,0,19,0.0904761904761904,5,42,29,0.138755980861244,10,21.0,21.0,45.69682702332843,130,0.6190476190476191,992931,AC,0.568,2,0.476,189,1
1379.49,443,19.26799034425766,0.408,1.652,5.484800000000003,10.751299999999995,62.03317000000011,3.289663507109004,12.83403021205455,10,5,0,0.0,0,0,0,20,0.0451467268623024,40,72,51,0.1153846153846153,11,40.27272727272727,40.27272727272727,58.02521537947713,271,0.6117381489841986,992953,WA,0.568,1,0.4,385,0
683.283,54,4.741812689617626,0.0335,0.30925,0.5442000000000005,1.5511499999999994,344.1635699999987,13.697339999999995,93.74208498099668,1,1,0,0.0,0,0,0,0,0.0,0,44,0,0.0,2,27.0,27.0,15.0,10,0.1851851851851851,993047,CE,0.765,1,0.312,301,0
