solution_id,problem_id,judge,has_code,duration_s,total_keys
991081,1823,AC,True,629.3,712
991084,2131,WA,True,306.3,30
991089,2108,WA,True,1148.3,453
991092,2108,AC,True,1175.2,476
991093,0,?,True,110.4,159
991098,1009,AC,True,1593.2,649
991113,1008,AC,True,153.6,247
991170,1789,AC,True,300.5,235
991178,1668,AC,True,403.1,62
991195,2131,WA,True,439.8,174
991222,1043,WA,True,210.7,314
991232,2131,WA,True,109.0,51
991280,2131,WA,True,147.6,33
991286,2132,AC,True,909.6,64
991289,2131,AC,True,665.3,864
991337,1043,WA,True,1667.8,747
991382,2127,AC,True,440.0,319
991391,1051,AC,True,618.4,543
991394,1040,AC,True,1073.2,253
991401,1374,AC,True,382.0,354
991403,1043,WA,True,828.0,305
991412,2131,WA,True,215.6,69
991415,1043,AC,True,972.2,343
991422,2131,WA,True,430.0,73
991430,2131,AC,True,616.4,87
991434,1537,AC,True,1068.5,419
991437,1665,AC,True,532.8,81
991441,1030,AC,True,1142.4,385
991451,2127,AC,True,336.5,391
991462,1174,WA,True,1061.8,63
991465,1462,AC,True,661.1,307
991469,2128,AC,True,243.5,257
991472,1174,AC,True,1369.8,107
991482,2129,AC,True,292.0,323
991483,1549,AC,True,1056.1,465
991500,1081,AC,True,241.6,48
991517,1043,AC,True,240.9,233
991523,2127,CE,True,185.5,262
991525,2127,AC,True,238.1,265
991534,2130,NoData,True,968.9,812
991537,2130,NoData,True,1112.1,818
991546,1509,AC,True,1049.1,425
991552,2130,AC,True,1423.6,819
991555,1518,AC,True,172.6,237
991559,1638,AC,True,1319.5,274
991566,1534,AC,True,214.2,238
991571,1799,WA,True,679.4,304
991581,1799,WA,True,752.8,308
991599,1657,AC,True,476.6,389
991629,1833,AC,True,498.1,313
991663,2128,TLE,True,1177.4,1534
991679,1899,AC,True,525.9,174
991681,1576,WA,True,417.6,282
991689,1576,WA,True,495.2,285
991690,2131,WA,True,1503.5,129
991693,1798,AC,True,397.7,216
991695,2131,WA,True,1706.0,194
991731,1398,CE,True,345.4,270
991735,1398,WA,True,367.0,272
991761,1123,TLE,True,349.1,444
991766,1174,AC,True,1004.5,46
991767,1398,WA,True,586.6,443
991771,1799,AC,True,786.9,334
991773,1398,AC,True,670.0,465
991805,2138,CE,True,353.1,52
991806,1576,WA,True,328.7,68
991810,0,CE,True,353.1,52
991815,1576,WA,True,328.7,68
991823,1274,AC,True,407.4,538
991832,1576,AC,True,537.1,71
991846,1291,WA,True,182.3,348
991849,1291,AC,True,195.9,350
991863,1286,AC,True,840.0,465
991871,1064,WA,True,672.8,718
991882,1064,WA,True,747.3,720
991883,2090,AC,True,1512.2,735
991889,2138,CE,True,992.8,66
991890,1301,WA,True,117.3,260
991894,2138,WA,True,992.8,66
991902,2138,CE,True,1142.6,69
