n,positive,trigger,tp,fp,fn,precision,recall,f1,roc_auc,pr_auc,brier,ece,labels,features,model,f1_mean,f1_ci_low,f1_ci_high
320,23,48,17,31,6,0.3541666666666667,0.7391304347826086,0.4788732394366197,0.9190455277411799,0.3419452968553658,0.07898650361584632,0.10530725810709707,human_reviewed,no_idle_pause,random_forest,0.47486006349559695,0.3428222996515679,0.5909090909090908
320,23,65,17,48,6,0.26153846153846155,0.7391304347826086,0.38636363636363635,,,,,human_reviewed,minimal,rule,0.3848416728648628,0.28571428571428575,0.48003703703703704
320,23,108,22,86,1,0.2037037037037037,0.9565217391304348,0.33587786259541985,0.8792270531400966,0.27175173149848986,0.16320045535398614,0.25274265261197165,human_reviewed,minimal,logistic,0.33355748747520125,0.25,0.4146579030725372
320,23,55,19,36,4,0.34545454545454546,0.8260869565217391,0.4871794871794872,0.8986971160884205,0.3407396703554109,0.09306441397142791,0.12078695555473692,human_reviewed,minimal,random_forest,0.48466877411092685,0.38095238095238093,0.5778070175438597
380,90,0,0,0,90,0.0,0.0,0.0,0.5,0.34357224330865377,0.18074792243767315,0.0,human_complete,none,majority,0.0,0.0,0.0
380,90,122,74,48,16,0.6065573770491803,0.8222222222222222,0.6981132075471698,,,,,human_complete,full,rule,0.6989123825458132,0.6324786324786326,0.7559154370409581
380,90,139,77,62,13,0.5539568345323741,0.8555555555555555,0.6724890829694323,0.8675862068965517,0.5575088866883274,0.14206806923278018,0.10688116814923605,human_complete,full,logistic,0.6731685650776199,0.6050238800556194,0.7329507036716724
380,90,140,81,59,9,0.5785714285714286,0.9,0.7043478260869566,0.8772222222222222,0.5546133668580225,0.13115364714319086,0.09293519873507461,human_complete,full,random_forest,0.7052627321678094,0.6393270422923267,0.759493670886076
380,90,122,74,48,16,0.6065573770491803,0.8222222222222222,0.6981132075471698,,,,,human_complete,no_idle_pause,rule,0.6989123825458132,0.6324786324786326,0.7559154370409581
380,90,148,78,70,12,0.527027027027027,0.8666666666666667,0.6554621848739495,0.8593295019157088,0.5332294862207705,0.1473560265161932,0.12300604811211467,human_complete,no_idle_pause,logistic,0.6561196998041824,0.585705574912892,0.7160535535535535
380,90,140,79,61,11,0.5642857142857143,0.8777777777777778,0.6869565217391305,0.87044061302682,0.5475233602351863,0.1341286874206513,0.09827327976102124,human_complete,no_idle_pause,random_forest,0.6873297435665552,0.6212121212121212,0.7451213818860877
380,90,122,74,48,16,0.6065573770491803,0.8222222222222222,0.6981132075471698,,,,,human_complete,minimal,rule,0.6989123825458132,0.6324786324786326,0.7559154370409581
380,90,159,83,76,7,0.5220125786163522,0.9222222222222223,0.6666666666666667,0.8823371647509578,0.5975215266250161,0.14822301283784795,0.14744148780408423,human_complete,minimal,logistic,0.667355025807205,0.599963503649635,0.7260295785708053
380,90,134,76,58,14,0.5671641791044776,0.8444444444444444,0.6785714285714286,0.8733141762452107,0.5914209109303808,0.13608064520757318,0.10937840558522852,human_complete,minimal,random_forest,0.679328509161232,0.6093433277027027,0.7432432432432433
