n,positive_rate,predicted_rate,precision,recall,f1,false_prompts,false_prompt_rate,tp,tn,fp,fn,label,parameter,idle_s,keys_limit,split,f1_ci_low,f1_ci_high,context_s
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,keys_30s_limit,30,4,test,0.5277863777089784,0.7894736842105263,
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,keys_30s_limit,30,5,dev,,,
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,keys_30s_limit,30,5,test,0.5277863777089784,0.7894736842105263,
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,keys_30s_limit,30,6,dev,,,
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,keys_30s_limit,30,6,test,0.5277863777089784,0.7894736842105263,
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,keys_30s_limit,30,8,dev,,,
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,keys_30s_limit,30,8,test,0.5277863777089784,0.7894736842105263,
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,keys_30s_limit,30,10,dev,,,
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,keys_30s_limit,30,10,test,0.5277863777089784,0.7894736842105263,
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,keys_30s_limit,30,12,dev,,,
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,keys_30s_limit,30,12,test,0.5277863777089784,0.7894736842105263,
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,keys_30s_limit,30,16,dev,,,
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,keys_30s_limit,30,16,test,0.5277863777089784,0.7894736842105263,
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,keys_30s_limit,30,20,dev,,,
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,keys_30s_limit,30,20,test,0.5277863777089784,0.7894736842105263,
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,keys_30s_limit,30,30,dev,,,
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,keys_30s_limit,30,30,test,0.5277863777089784,0.7894736842105263,
