n,positive_rate,predicted_rate,precision,recall,f1,false_prompts,false_prompt_rate,tp,tn,fp,fn,label,parameter,idle_s,keys_limit,split,f1_ci_low,f1_ci_high,context_s
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,keys_30s_limit,30,5,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,keys_30s_limit,30,5,test,0.5312745098039217,0.7901162790697673,
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,keys_30s_limit,30,6,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,keys_30s_limit,30,6,test,0.5312745098039217,0.7901162790697673,
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,keys_30s_limit,30,8,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,keys_30s_limit,30,8,test,0.5312745098039217,0.7901162790697673,
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,keys_30s_limit,30,10,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,keys_30s_limit,30,10,test,0.5312745098039217,0.7901162790697673,
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,keys_30s_limit,30,12,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,keys_30s_limit,30,12,test,0.5312745098039217,0.7901162790697673,
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,keys_30s_limit,30,16,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,keys_30s_limit,30,16,test,0.5312745098039217,0.7901162790697673,
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,keys_30s_limit,30,20,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,keys_30s_limit,30,20,test,0.5312745098039217,0.7901162790697673,
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,keys_30s_limit,30,30,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,keys_30s_limit,30,30,test,0.5312745098039217,0.7901162790697673,
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,context_s,30,8,dev,,,10.0
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,context_s,30,8,test,0.5312745098039217,0.7901162790697673,10.0
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,context_s,30,8,dev,,,30.0
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,context_s,30,8,test,0.5312745098039217,0.7901162790697673,30.0
281,0.24199288256227758,0.21352313167259787,0.6333333333333333,0.5588235294117647,0.59375,22,0.10328638497652583,38,191,22,30,human_complete,context_s,30,8,dev,,,60.0
99,0.2222222222222222,0.26262626262626265,0.6538461538461539,0.7727272727272727,0.7083333333333333,9,0.11688311688311688,17,68,9,5,human_complete,context_s,30,8,test,0.5576666666666668,0.820989304812834,60.0
281,0.24199288256227758,0.099644128113879,0.6071428571428571,0.25,0.3541666666666667,11,0.051643192488262914,17,202,11,51,human_complete,context_s,30,8,dev,,,120.0
99,0.2222222222222222,0.15151515151515152,0.7333333333333333,0.5,0.5945945945945945,4,0.05194805194805195,11,73,4,11,human_complete,context_s,30,8,test,0.375,0.7238181818181816,120.0
